OBJECTID,Neighbourhood,Hood_ID,Population,Assault_AVG,Assault_Rate_2019,AutoTheft_AVG,AutoTheft_Rate_2019,Homicide_AVG,Homicide_Rate_2019
83,Eringate-Centennial-West Deane,11,18588,54,236.7,29.7,220.6,0.5,5.4
84,L'Amoreaux,117,43993,163,443.3,25.8,81.8,0.5,0
85,Banbury-Don Mills,42,27695,80.5,267.2,21.8,151.7,0,0
86,Bathurst Manor,34,15873,50.5,315,26.7,151.2,0,0
87,Alderwood,20,12054,36.3,298.7,16.2,116.1,0.2,0
88,Regent Park,72,10803,111.2,1444,9.8,194.4,1.3,9.3
89,Bendale,127,29960,242.7,887.9,47.2,183.6,0.8,3.3
90,Birchcliffe-Cliffside,122,22291,171.3,901.7,17.5,112.2,0.5,0
91,Weston-Pellam Park,91,11098,90.7,1018.2,15,135.2,0.8,9
92,Downsview-Roding-CFB,26,35052,395.8,1261,107.8,459.3,1.3,8.6
93,Lambton Baby Point,114,7985,31,338.1,8.8,137.8,0,0
94,Bay Street Corridor,76,25797,771,3550.8,32.8,193.8,1.5,11.6
95,Black Creek,24,21737,218.8,943.1,48.8,326.6,0.8,0
96,Willowdale East,51,50434,145.7,333.1,36.2,113,0,0
97,Willowdale West,37,16936,101.7,661.3,16.2,183,0.2,0
98,Rouge,131,46496,173.3,391.4,50.5,187.1,0.8,0
99,Mount Olive-Silverstone-Jamestown,2,32954,255.8,813.3,62.3,267,2.2,9.1
100,Cabbagetown-South St.James Town,71,11669,102.3,1079.8,10.7,188.5,0.3,0
101,Mount Pleasant East,99,16775,34.7,280.2,9.8,95.4,0,0
102,Mount Pleasant West,104,29658,115.5,472,7.8,37.1,0.5,6.7
103,Blake-Jones,69,7727,69.7,905.9,6.5,90.6,0.3,0
104,Rexdale-Kipling,4,10529,68.7,588.8,28.7,474.9,0.5,19
105,East End-Danforth,62,21381,178.2,869.9,20.8,74.8,0.7,0
106,New Toronto,18,11463,100.7,968.3,13,191.9,0.5,0
107,Palmerston-Little Italy,80,13826,86,723.3,14,86.8,0,0
108,Parkwoods-Donalda,45,34805,159.7,454,31.5,91.9,0.3,2.9
109,Pelmo Park-Humberlea,23,10722,63.7,736.8,45,671.5,0.5,9.3
110,Playter Estates-Danforth,67,7804,69.5,1012.3,6.2,115.3,0.3,0
111,Willowridge-Martingrove-Richview,7,22156,90.3,455.9,44.3,189.6,0.7,4.5
112,Woburn,137,53485,384.7,798.4,46,112.2,1.2,0
113,Woodbine-Lumsden,60,7865,35.7,381.4,3,89,0.5,12.7
114,Bayview Village,52,21396,76.7,308.5,20.5,172.9,0.2,0
115,Bedford Park-Nortown,39,23236,44,266.8,45.8,284,0,0
116,Rockcliffe-Smythe,111,22246,136,678.8,43,161.8,0.5,4.5
117,Bridle Path-Sunnybrook-York Mills,41,9266,27.8,474.9,8.7,118.7,0,0
118,Don Valley Village,47,27051,127.7,547.1,29.8,77.6,0.3,0
119,Weston,113,17992,180.3,1089.4,47.2,272.3,1.5,11.1
120,Lawrence Park South,103,15179,22.7,197.6,22.3,184.5,0,0
121,Brookhaven-Amesbury,30,17757,97,563.2,34.2,191.5,0,0
122,Long Branch,19,10084,61.7,585.1,12.3,119,0,0
123,Malvern,132,43794,278.2,760.4,47.2,162.1,1.7,2.3
124,Dufferin Grove,83,11785,97.7,789.1,10.2,50.9,0.2,0
125,Maple Leaf,29,10111,32.5,306.6,15.3,257.1,0,0
126,Markland Wood,12,10554,20.7,161.1,12.3,85.3,0,0
127,Steeles,116,24623,39.3,182.8,25,125.9,0,0
128,Lawrence Park North,105,14607,27.7,260.1,23.3,123.2,0.2,0
129,Yonge-Eglinton,100,11817,75.8,871.6,9,110,0.3,8.5
130,Mimico,17,33964,299.2,959.8,37.3,176.7,0.7,2.9
131,Morningside,135,17455,153.8,1048.4,13.7,45.8,0.5,5.7
132,Moss Park,73,20506,474.7,3106.4,30.2,229.2,2.5,14.6
133,Little Portugal,84,15559,93.8,572,13.3,77.1,0.8,0
134,Woodbine Corridor,64,12541,86,781.4,9.2,71.8,0.5,0
135,Newtonbrook East,50,16097,66.5,410,11.7,167.7,0.3,0
136,Milliken,130,26572,83.8,372.6,58.5,312.4,0.2,3.8
137,Pleasant View,46,15818,46,278.2,13.5,151.7,0.2,0
138,Wychwood,94,14349,70.2,515.7,13.2,48.8,0.3,7
139,Leaside-Bennington,56,16828,32.8,184.2,18.2,190.2,0.2,0
140,Briar Hill-Belgravia,108,14257,73.7,547.1,18.2,133.3,0.2,0
